712,Nom de collectivité - Responsabilité secondaire
720,Nom de famille - Responsabilité principale
721,Nom de famille - Autre responsabilité principale
722,Nom de famille - Responsabilité secondaire
716,Nom de marque
730,Nom - Responsabilité
740,Titre de forme pour les textes législatifs et religieux - Responsabilité principale
741,Titre de forme pour les textes législatifs et religieux - Autre responsabilité principale
742,Titre de forme pour les textes législatifs et religieux - Responsabilité secondaire
801,Source de catalogage
802,Centre ISSN
830,Note générale du catalogueur
850,Etablissement détenteur
852,Localisation et cote
856,Adresse électronique et mode d'accès
886,Données du format source qui n’ont pas été converties
